PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
J. T. J Snow,SF,138,435,65,108,29,1,15,79,58,84,1,2,.248,.332,.423,.755
Quilvio Q Veras,SD,138,517,79,138,24,2,6,45,84,78,24,9,.267,.373,.356,.729
Ron R Coomer,MIN,137,529,54,146,22,1,15,72,18,72,2,2,.276,.295,.406,.702
Jeff J Kent,SF,137,526,94,156,37,3,31,128,48,110,9,4,.297,.359,.555,.914
Paul P Sorrento D,TB,137,435,40,98,27,0,17,57,54,133,2,3,.225,.313,.405,.718
Tim T Salmon D,ANA,136,463,84,139,28,1,26,88,90,100,0,1,.300,.410,.533,.943
Deivi D Cruz S,DET,135,454,52,118,22,3,5,45,13,55,3,4,.260,.284,.355,.638
Willie W Greene R,BAL,135,396,65,102,19,1,15,54,69,90,7,3,.258,.370,.424,.794
Stan S Javier R,SF,135,417,63,121,13,5,4,49,65,63,21,5,.290,.385,.374,.759
Reggie R Sanders C,CIN,135,481,83,129,18,6,14,59,51,137,20,9,.268,.346,.418,.764
Matt M Williams,ARI,135,510,72,136,26,1,20,71,43,102,5,1,.267,.327,.439,.766
Jermaine J Allensworth R,NYM,133,360,54,98,20,3,5,31,28,76,15,6,.272,.344,.386,.730
Brady B Anderson C,BAL,133,479,84,113,28,3,18,51,75,78,21,7,.236,.356,.420,.776
Mike M Caruso S,CWS,133,523,81,160,17,6,5,55,14,38,22,6,.306,.331,.390,.721
Darin D Erstad L,ANA,133,537,84,159,39,3,19,82,43,77,20,6,.296,.353,.486,.839
Carl C Everett,HOU,133,467,72,138,34,4,15,76,44,102,14,12,.296,.359,.482,.840
Charles C Johnson,LA,133,459,44,100,18,0,19,58,45,129,0,2,.218,.289,.381,.670
Javy J Lopez,ATL,133,489,73,139,21,1,34,106,30,85,5,3,.284,.328,.540,.868
Edgar E Renteria S,FLA,133,517,79,146,18,2,3,31,48,78,41,22,.282,.347,.342,.689
David D Bell,SEA,132,429,48,117,30,2,10,49,27,65,0,4,.273,.315,.422,.737
Lenny L Harris R,NYM,132,290,30,75,15,0,6,27,17,21,6,5,.259,.300,.372,.673
Ed E Sprague,OAK,132,469,57,104,25,0,20,58,26,90,1,2,.222,.280,.403,.683
Ken K Caminiti,SD,131,452,87,114,29,0,29,82,71,108,6,2,.252,.353,.509,.862
Eric E Davis R,BAL,131,452,81,148,29,1,28,89,44,108,7,6,.327,.388,.582,.970
Wally W Joyner,SD,131,439,58,131,30,1,12,80,51,44,1,2,.298,.370,.453,.824
Jeff J King,KC,131,486,83,128,17,1,24,93,42,73,10,2,.263,.319,.451,.769
Ryan R Mc Guire,MON,130,210,17,39,9,0,1,10,32,55,0,0,.186,.292,.243,.535
Gary G Sheffield R,LA,130,437,73,132,27,2,22,85,95,46,22,7,.302,.428,.524,.952
Eddie E Taubensee,CIN,130,431,61,120,27,0,11,72,52,93,1,0,.278,.352,.418,.769
Michael M Tucker R,ATL,130,414,54,101,27,3,13,46,49,112,8,3,.244,.327,.418,.745
Larry L Walker R,COL,130,454,113,165,46,3,23,67,64,61,14,4,.363,.445,.630,1.075
Mike M Blowers,OAK,129,409,56,97,24,2,11,71,39,116,1,0,.237,.302,.386,.689
Darren D Bragg R,BOS,129,409,51,114,29,3,8,57,42,99,5,3,.279,.351,.423,.774
Carlos C Hernandez,SD,129,390,34,102,15,0,9,52,16,54,2,2,.262,.305,.369,.674
Ryan R Klesko L,ATL,129,427,69,117,29,1,18,70,56,66,5,3,.274,.359,.473,.832
Gerald G Williams R,ATL,129,266,46,81,19,2,10,44,17,48,11,5,.305,.352,.504,.856
Brad B Ausmus,HOU,128,412,62,111,10,4,6,45,53,60,10,3,.269,.356,.357,.713
Rich R Becker,BAL,128,213,37,42,5,2,6,21,43,76,5,1,.197,.337,.324,.661
Gary G Gaetti,CHC,128,434,60,122,34,1,19,70,43,62,1,1,.281,.356,.495,.852
Henry H Rodriguez L,CHC,128,415,56,104,21,1,31,85,54,113,1,3,.251,.334,.530,.864
Bernie B Williams C,NYY,128,499,101,169,30,5,26,97,74,81,15,9,.339,.422,.575,.997
Tony T Gwynn R,SD,127,461,65,148,35,0,16,69,35,18,3,1,.321,.364,.501,.865
Hal H Morris,KC,127,472,50,146,27,2,1,40,32,52,1,0,.309,.350,.381,.731
Joe J Carter,SF,126,388,51,101,22,1,18,63,24,61,4,1,.260,.304,.461,.765
Mark M Mc Lemore,TEX,126,461,79,114,15,1,5,53,89,64,12,4,.247,.369,.317,.686
Paul P Molitor D,MIN,126,502,75,141,29,5,4,69,45,41,9,2,.281,.335,.382,.718
Al A Martin L,PIT,125,440,57,105,15,2,12,47,32,91,20,3,.239,.296,.364,.660
Chris C Widger,MON,125,417,36,97,18,1,15,53,29,85,6,1,.233,.281,.388,.670
Mike M Benjamin,BOS,124,349,46,95,23,0,4,39,15,73,3,0,.272,.312,.372,.684
Brant B Brown C,CHC,124,347,56,101,17,7,14,48,30,95,4,5,.291,.348,.501,.850
David D Dellucci L,ARI,124,416,43,108,19,12,5,51,33,103,3,5,.260,.318,.399,.717
Darrin D Fletcher,TOR,124,407,37,115,23,1,9,52,25,39,0,0,.283,.328,.410,.738
Terry T Steinbach,MIN,124,422,45,102,25,2,14,54,38,89,0,1,.242,.310,.410,.720
Wade W Boggs,TB,123,435,51,122,23,4,7,52,46,54,3,2,.280,.348,.400,.748
Bill B Spiers,HOU,123,384,66,105,27,4,4,43,45,62,11,2,.273,.356,.396,.751
Chris C Stynes L,CIN,123,347,52,88,10,1,6,27,32,36,15,1,.254,.323,.340,.663
Jim J Thome,CLE,123,440,89,129,34,2,30,85,89,141,1,0,.293,.413,.584,.998
Turner T Ward C,PIT,123,282,33,74,13,3,9,46,27,40,5,4,.262,.328,.426,.754
Rich R Aurilia S,SF,122,413,54,110,27,2,9,49,31,62,3,3,.266,.319,.407,.726
Glenallen G Hill L,CHC,122,390,63,121,25,2,20,56,28,79,1,1,.310,.360,.538,.899
F. P. F Santangelo L,MON,122,383,53,82,18,0,4,23,44,72,7,3,.214,.330,.292,.623
Mark M Sweeney,SD,122,192,17,45,8,3,2,15,26,37,1,2,.234,.324,.339,.663
Marvin M Benard R,SF,121,286,41,92,21,1,3,36,34,39,11,4,.322,.396,.434,.830
Ron R Gant L,STL,121,383,60,92,17,1,26,67,51,92,8,0,.240,.331,.493,.824
A. J. A Hinch,OAK,120,337,34,78,10,0,9,35,30,89,3,0,.231,.296,.341,.638
Willie W Mc Gee L,STL,120,269,27,68,10,1,3,34,14,49,7,2,.253,.287,.331,.618
Lee L Stevens D,TEX,120,344,52,91,17,4,20,59,31,93,0,2,.265,.324,.512,.836
Jeff J Blauser S,CHC,119,361,49,79,11,3,4,26,60,93,2,2,.219,.340,.299,.639
Marty M Cordova L,MIN,119,438,52,111,20,2,10,69,50,103,3,6,.253,.333,.377,.709
Curtis C Goodwin,COL,119,159,27,39,7,0,1,6,16,40,5,1,.245,.313,.308,.621
Sandy S Alomar,CLE,117,409,45,96,26,2,6,44,18,45,0,3,.235,.270,.352,.622
Ryan R Christenson C,OAK,117,370,56,95,22,2,5,40,36,106,5,6,.257,.321,.368,.689
Delino D De Shields,STL,117,420,74,122,21,8,7,44,56,61,26,10,.290,.371,.429,.799
Cecil C Fielder D,CLE,117,416,49,97,17,1,17,68,53,111,0,1,.233,.324,.401,.725
Luis L Lopez,NYM,117,266,37,67,13,2,2,22,20,60,2,2,.252,.312,.338,.650
Bobby B Smith,TB,117,370,44,102,15,3,11,55,34,110,5,3,.276,.343,.422,.765
Eric E Young Sr.,LA,117,452,78,129,24,1,8,43,45,32,42,13,.285,.355,.396,.751
Todd T Dunwoody C,FLA,116,434,53,109,27,7,5,28,21,113,5,1,.251,.292,.380,.672
Wilton W Guerrero,MON,116,402,50,114,14,9,2,27,14,63,8,2,.284,.307,.378,.685
Darrin D Jackson L,MIL,114,204,20,49,13,1,4,20,9,37,1,1,.240,.276,.373,.648
Jim J Leyritz,SD,114,272,34,75,16,0,12,42,42,74,0,0,.276,.384,.467,.851
Scott S Spiezio,OAK,114,406,54,105,19,1,9,50,44,56,1,3,.259,.333,.377,.709
Karim K Garcia R,ARI,113,333,39,74,10,8,9,43,18,78,5,4,.222,.260,.381,.641
Butch B Huskey R,NYM,113,369,43,93,18,0,13,59,26,66,7,6,.252,.300,.407,.706
Jeff J Reed,COL,113,259,43,75,17,1,9,39,37,57,0,0,.290,.377,.467,.844
Scott S Servais,CHC,113,325,35,72,15,1,7,36,26,51,1,0,.222,.289,.338,.627
Brian B Giles L,CLE,112,350,56,94,19,0,16,66,73,75,10,5,.269,.396,.460,.856
Scott S Hatteberg,BOS,112,359,46,99,23,1,12,43,43,58,0,0,.276,.359,.446,.804
Kevin K Jordan,PHI,112,250,23,69,13,0,2,27,8,30,0,0,.276,.303,.352,.655
Kevin K Orie,FLA,112,379,47,83,22,1,8,38,32,59,2,1,.219,.291,.346,.636
Kevin K Stocker S,TB,112,336,37,70,11,3,6,25,27,80,5,3,.208,.282,.313,.594
Bernard B Gilkey L,ARI,111,365,41,85,15,0,5,33,43,80,9,3,.233,.320,.315,.635
Charlie C Hayes,SF,111,329,39,94,8,0,12,62,34,61,2,1,.286,.351,.419,.770
Ryan R Jackson,FLA,111,260,26,65,15,1,5,31,20,73,1,1,.250,.305,.373,.678
Jorge J Posada,NYY,111,358,56,96,23,0,17,63,47,92,0,1,.268,.350,.475,.824
Larry L Sutton R,KC,111,310,29,76,14,2,5,42,29,46,3,3,.245,.311,.352,.663
Lou L Collier S,PIT,110,334,30,82,13,6,2,34,31,70,2,2,.246,.316,.338,.655
Denny D Hocking,MIN,110,198,32,40,6,1,3,15,16,44,2,1,.202,.259,.288,.547
Kirt K Manwaring,COL,110,291,30,72,12,3,2,26,38,49,1,5,.247,.339,.330,.669
Otis O Nixon C,MIN,110,448,71,133,6,6,1,20,44,56,37,7,.297,.361,.344,.705
Bob B Hamelin,MIL,109,146,15,32,6,0,7,22,16,30,0,1,.219,.295,.404,.699
Keith K Lockhart,ATL,109,366,50,94,21,0,9,37,29,37,2,2,.257,.311,.388,.699
Tim T Raines L,NYY,109,321,53,93,13,1,5,47,55,49,8,3,.290,.395,.383,.778
Rey R Sanchez S,SF,109,316,44,90,14,2,2,30,16,47,0,0,.285,.325,.361,.686
John J Vander Wal,SD,109,129,21,36,13,1,5,20,22,34,0,0,.279,.382,.512,.893
Randy R Winn C,TB,109,338,51,94,9,9,1,17,29,69,26,12,.278,.337,.367,.704
